CDARAP|UMISAP|ALIVAP|DSARAP|DSALAP|CISOAP|PRZ1AP|PRZ2AP|PRZ3AP|PRZ4AP|STREAP
PEPGRES|KG|04|PEPERONI GRÜN|PEPERONI VERDI|ES|4.00|4.00|4.00||1|
PEPINI|KG|04|PEPERONCINI|PEPERONCINI|IT|7.00|7.00|7.00||1|
PEPININR|NR|04|PEPERONCINI|PEPERONCINI|IT|1.80|1.80|1.80||1|
PEPRES|KG|04|PEPERONI ROT|PEPERONI ROSSI|ES|4.60|4.60|4.60||1|
PERES|KG|04|TOMATEN PERETTI|POMODORI PERETTI|ES|3.80|3.80|3.80||1|
PERLINE|KG|04|MELANZANE PERLINE|MELANZANE PERLINE|IT|7.00|7.00|7.00||1|
PERLZWG|KG|04|PERLZWIEBELN GESCH.|CIPOLLINE PELATE|IT|5.00|5.00|5.00||1|
PET|KG|04|PETERSIL|PREZZEMOLO|IT|4.80|4.80|4.80||1|
PETWU|KG|04|PETERSILIENWURZEL|RADICI DI PREZZEMOLO|IT|3.80|3.80|3.80||1|
PFLEC|KG|04|PFLAUMEN|PRUGNE|EC|4.50|4.50|4.50||1|
PHYKG|KG|04|PHYSALIS|PHYSALIS|EC|19.00|19.00|19.00||1|
PIG|KG|04|PINIENKERNE|PINOLI|EC|68.00|68.00|||1|
PIOP|KG|04|PIOPPARELLI PILZE|FUNGHI PIOPPARELLI|IT|15.50|15.50|14.00||1|
PIT|KG|04|PITAHAYA|PITAHAYA|EC|18.00|18.00|14.00||1|
POM|KG|04|POMPELMI|POMPELMI|EC|2.80|2.80|2.00||1|
POMRO|KG|04|POMPELMI ROSE|POMPELMI ROSE'|EC|2.80|2.80|2.00||1|
PORNL|KG|04|PORREE|PORRI|NL|2.80|3.00|2.80||1|
PORTO|KG|04|PORTOBELLO PILZE|FUNGHI PORTOBELLO|IT|5.00|5.00|||1|
QUI|KG|04|QUITTEN|COTOGNE|IT|2.80|2.80|2.80||1|
RA|NR|04|RADIESCHEN|RAPANELLI|IT|1.00|1.00|1.00||1|
RAMA|KG|04|TOMATEN RAMATI|POMODORI RAMATI|IT|3.40|3.40|3.40||1|
RAMAES|KG|04|TOMATEN RAMATI|POMODORI RAMATI|ES|3.40|3.40|3.40||1|
RBKKG|KG|10|ROTE BEETE VERP.|RAPE ROSSE CONF.|IT|2.30|2.30|2.30||1|
RCAS|KG|04|RADICCHIO CASTELFRAN|RAD CASTELFRANCO|IT|4.00|4.00|4.00||1|
RE|KG|04|RETTICHE|RAPE|IT|2.00|2.00|2.00||1|
RGR|KG|04|RADICCHIETTO|RADICCHIETTO|IT|10.00||||1|
RIB|KG|04|RIBES|RIBES|IT|25.00|25.00|25.00||1|
RIC|KG|04|INDIVIA RICCIA|INSALATA RICCIA|IT|4.50|4.80|4.50||1|
RO|KG|04|ROMANESCO|ROMANESCO|IT|3.60|3.60|3.60||1|
ROM|KG|04|ROMANA SALAT|INSALATA ROMANA|IT|2.80|3.00|3.30||1|
ROSM|KG|05|ROSMARIN|ROSMARINO|IT|6.50|6.50|6.50||1|
ROTRU|KG|04|ROTE BEETE ROH|RAPE ROSSE|IT|1.60|1.60|1.30||1|
RTREC|KG|04|TRAUBEN ROSE'|UVA ROSE'|EC|5.50|5.50|5.50||1|
